analyst_id,Ticker,Quarter,Reported,Rank,EpsPoints,RevenuePoints,TotalPoints
yorel,ERIC,Q2 2021,16-Jul-21,2/16,22,-3,19
yorel,STT,Q2 2021,16-Jul-21,6/11,9,9,18
yorel,ALV,Q2 2021,16-Jul-21,1/9,-2,-1,-3
yorel,CYD,Q3 2020,16-Nov-20,1/4,-2,13,11
yorel,CYD,Q3 2020,16-Nov-20,4/4,-25,14,-11
Analyst_2297174,MDB,Q3 2022,6-Dec-21,18 / 25,11,-4,7
Analyst_2297174,SMAR,Q3 2022,2-Dec-21,15 / 21,7,-4,3
Analyst_9910177,VEEV,Q3 2022,1-Dec-21,22 / 24,-17,9,-8
Analyst_9910177,OKTA,Q3 2022,1-Dec-21,29 / 37,19,-25,-6
Canaccord_188,ESTC,Q2 2022,1-Dec-21,12/21,17,-8,9
Canaccord_188,SNOW,Q3 2022,1-Dec-21,33 / 39,-3,8,5
Canaccord_188,CRM,Q3 2022,30-Nov-21,60 / 80,-6,11,5
Canaccord_188,PLAN,Q3 2022,23-Nov-21,9/13,19,-12,7
Canaccord_188,ADSK,Q3 2022,23-Nov-21,13 / 25,13,-2,11
Canaccord_188,WDAY,Q3 2022,18-Nov-21,25 / 33,7,-6,1
Canaccord_188,SAIL,Q3 2021,9-Nov-21,10/13,13,-12,1
Canaccord_188,EVBG,Q3 2021,9-Nov-21,7/8,21,-20,1
Canaccord_188,ONTF,Q3 2021,9-Nov-21,7/8,4,-4,0
Canaccord_188,BAND,Q3 2021,8-Nov-21,9/10,-4,-22,-26
Canaccord_188,FIVN,Q3 2021,8-Nov-21,10/15,,18,18
Canaccord_188,DBX,Q3 2021,4-Nov-21,17 / 20,-6,-11,-17
Canaccord_188,AVLR,Q3 2021,4-Nov-21,5/7,-5,8,3
Canaccord_188,BILL,Q1 2022,4-Nov-21,10/10,-7,-16,-23
Canaccord_188,HUBS,Q3 2021,3-Nov-21,11/19,7,12,19
Canaccord_188,UPLD,Q3 2021,3-Nov-21,5/6,-8,12,4
Canaccord_188,SPT,Q3 2021,2-Nov-21,5/6,-5,8,3
Canaccord_188,TEAM,Q1 2022,28-Oct-21,18 / 23,17,-10,7
Canaccord_188,ZEN,Q3 2021,28-Oct-21,9/13,-7,7,0
Canaccord_188,SHOP,Q3 2021,28-Oct-21,18 / 63,-2,-1,-3
Canaccord_188,NOW,Q3 2021,27-Oct-21,26 / 34,7,-5,2
Canaccord_188,TWLO,Q3 2021,27-Oct-21,38 / 39,14,-25,-11
Canaccord_188,DT,Q2 2022,27-Oct-21,6/8,,8,8
Canaccord_188,XM,Q3 2021,20-Oct-21,7/10,-8,8,0
Canaccord_188,SMAR,Q2 2022,7-Sep-21,13 / 18,5,8,13
Canaccord_188,MDB,Q2 2022,2-Sep-21,18 / 18,-9,-4,-13
Canaccord_188,VEEV,Q2 2022,1-Sep-21,16 / 19,-23,18,-5
Canaccord_188,OKTA,Q2 2022,1-Sep-21,24 / 28,21,-22,-1
Canaccord_188,PLAN,Q2 2022,31-Aug-21,7/13,18,-6,12
Canaccord_188,WDAY,Q2 2022,26-Aug-21,25 / 32,8,4,12
Canaccord_188,BILL,Q4 2021,26-Aug-21,7/8,-6,-3,-9
Canaccord_188,CRM,Q2 2022,25-Aug-21,75 / 86,-5,-5,-10
Canaccord_188,ADSK,Q2 2022,25-Aug-21,3/25,9,25,34
Canaccord_188,ESTC,Q1 2022,25-Aug-21,13 / 18,9,-5,4
Canaccord_188,SNOW,Q2 2022,25-Aug-21,20 / 42,18,8,26
Canaccord_188,AZPN,Q4 2021,11-Aug-21,3/4,-8,11,3
Canaccord_188,ONTF,Q2 2021,10-Aug-21,5/8,12,9,21
Canaccord_188,SAIL,Q2 2021,9-Aug-21,8/10,9,-16,-7
Canaccord_188,EVBG,Q2 2021,9-Aug-21,9/9,-6,-10,-16
Canaccord_188,BAND,Q2 2021,5-Aug-21,9/10,-4,-25,-29
Canaccord_188,DBX,Q2 2021,5-Aug-21,15 / 23,6,10,16
Canaccord_188,AVLR,Q2 2021,5-Aug-21,7/7,-6,8,2
Canaccord_188,HUBS,Q2 2021,4-Aug-21,10/17,6,11,17
Canaccord_188,UPLD,Q2 2021,4-Aug-21,7/7,-3,-6,-9
Canaccord_188,PAYC,Q2 2021,3-Aug-21,17 / 17,-7,-4,-11
Canaccord_188,TEAM,Q4 2021,29-Jul-21,11/23,14,6,20
Canaccord_188,MDB,Q3 2022,6-Dec-21,3/25,16,10,26
Canaccord_188,DOCU,Q3 2022,2-Dec-21,21 / 48,8,17,25
Canaccord_188,SNOW,Q3 2022,1-Dec-21,26 / 39,-5,13,8
Canaccord_188,CRM,Q3 2022,30-Nov-21,52 / 80,22,-7,15
Canaccord_188,ADSK,Q3 2022,23-Nov-21,4/25,18,19,37
Phil_C,ZM,Q3 2022,22-Nov-21,46 / 57,-5,-3,-8
Phil_C,EVBG,Q3 2021,9-Nov-21,1/8,13,16,29
Phil_C,COIN,Q3 2021,9-Nov-21,44 / 51,-6,-6,-12
Phil_C,PLTR,Q3 2021,9-Nov-21,52 / 71,-3,-3,-6
Phil_C,PYPL,Q3 2021,8-Nov-21,83 / 111,-3,-5,-8
Phil_C,TTD,Q3 2021,8-Nov-21,5/1,25,11,36
Phil_C,DDOG,Q3 2021,4-Nov-21,3/27,16,11,27
Phil_C,AVLR,Q3 2021,4-Nov-21,2/7,9,22,31
Phil_C,FROG,Q3 2021,4-Nov-21,4/7,25,-5,20
Phil_C,ABNB,Q3 2021,4-Nov-21,9/1,11,13,24
Phil_C,CFLT,Q3 2021,4-Nov-21,1/4,12,14,26
Phil_C,HUBS,Q3 2021,3-Nov-21,5/19,16,17,33
Phil_C,TEAM,Q1 2022,28-Oct-21,4/23,17,16,33
Phil_C,AMZN,Q3 2021,28-Oct-21,190 / 210,-6,-13,-19
Phil_C,SHOP,Q3 2021,28-Oct-21,48 / 63,-5,-4,-9
Phil_C,NOW,Q3 2021,27-Oct-21,4/1,16,25,41
Phil_C,TWLO,Q3 2021,27-Oct-21,12/1,8,14,22
Phil_C,PEGA,Q3 2021,27-Oct-21,6/6,-7,-6,-13
Phil_C,MSFT,Q1 2022,26-Oct-21,33 / 167,23,13,36
Phil_C,GOOGL,Q3 2021,26-Oct-21,48 / 157,14,19,33
Phil_C,FB,Q3 2021,25-Oct-21,145 / 185,-5,-6,-11
Phil_C,INTC,Q3 2021,21-Oct-21,79 / 120,10,-4,6
Phil_C,TSLA,Q3 2021,20-Oct-21,41 / 302,24,-2,22
Phil_C,ORCL,Q1 2022,13-Sep-21,36 / 48,-5,-5,-10
Phil_C,DOCU,Q2 2022,2-Sep-21,6/1,17,22,39
Phil_C,MDB,Q2 2022,2-Sep-21,3/18,16,15,31
Phil_C,ZM,Q2 2022,30-Aug-21,31 / 83,17,15,32
Phil_C,CRM,Q2 2022,25-Aug-21,4/1,14,22,36
Phil_C,ADSK,Q2 2022,25-Aug-21,14 / 25,15,-7,8
Phil_C,SNOW,Q2 2022,25-Aug-21,2/1,25,21,46
Phil_C,ABNB,Q2 2021,12-Aug-21,8/1,12,19,31
Phil_C,PLTR,Q2 2021,12-Aug-21,28 / 81,-4,17,13
Phil_C,EVBG,Q2 2021,9-Aug-21,3/9,-5,19,14
Phil_C,TTD,Q2 2021,9-Aug-21,8/1,15,15,30
Phil_C,AVLR,Q2 2021,5-Aug-21,1/7,17,12,29
Phil_C,FROG,Q2 2021,5-Aug-21,11/11,-7,-25,-32
Phil_C,DDOG,Q2 2021,5-Aug-21,1/21,18,15,33
Phil_C,HUBS,Q2 2021,4-Aug-21,12/17,17,-4,13
Phil_C,TEAM,Q4 2021,29-Jul-21,14 / 23,-6,20,14
Phil_C,AMZN,Q2 2021,29-Jul-21,38 / 210,23,-5,18
Phil_C,TWLO,Q2 2021,29-Jul-21,33 / 49,-5,13,8
Phil_C,PYPL,Q2 2021,28-Jul-21,27 / 96,-2,-1,-3
Phil_C,NOW,Q2 2021,28-Jul-21,2/1,19,19,38
Phil_C,FB,Q2 2021,28-Jul-21,184 / 199,-9,-13,-22
Phil_C,PEGA,Q2 2021,28-Jul-21,2/5,11,11,22
Phil_C,OKTA,Q3 2022,1-Dec-21,30 / 37,-5,-3,-8
Phil_C,CRWD,Q3 2022,1-Dec-21,51 / 60,-6,-4,-10
Phil_C,ZS,Q1 2022,30-Nov-21,31 / 37,-6,-4,-10
Phil_C,DGII,Q4 2021,10-Nov-21,4/5,9,-6,3
Phil_C,SWIR,Q3 2021,9-Nov-21,2/5,5,23,28
Phil_C,SAIL,Q3 2021,9-Nov-21,12/13,-6,-3,-9
Canaccord_166,EVBG,Q3 2021,9-Nov-21,6/8,7,13,20
Canaccord_166,CEVA,Q3 2021,9-Nov-21,6/7,17,-25,-8
Canaccord_166,BAND,Q3 2021,8-Nov-21,7/10,-4,-1,-5
Canaccord_166,SWKS,Q4 2021,4-Nov-21,39 / 39,-25,-25,-50
Canaccord_166,QRVO,Q2 2022,3-Nov-21,18 / 18,-25,-25,-50
Canaccord_166,QCOM,Q4 2021,3-Nov-21,54 / 64,-4,-4,-8
Canaccord_166,AAPL,Q4 2021,28-Oct-21,80 / 324,-1,-1,-2
Canaccord_166,NOK,Q3 2021,28-Oct-21,14 / 16,-6,-9,-15
Canaccord_166,MIXT,Q2 2022,28-Oct-21,4/7,9,15,24
Canaccord_166,TWLO,Q3 2021,27-Oct-21,36 / 39,-6,-3,-9
Canaccord_166,TENB,Q3 2021,26-Oct-21,7/7,-6,-5,-11
Canaccord_166,ERIC,Q3 2021,19-Oct-21,9/9,-7,-25,-32
Canaccord_166,CAMP,Q2 2022,23-Sep-21,4/4,-25,-2,-27
Canaccord_166,BB,Q2 2022,22-Sep-21,23 / 37,-3,12,9
Canaccord_166,ZS,Q4 2021,9-Sep-21,39 / 45,4,-5,-1
Canaccord_166,OKTA,Q2 2022,1-Sep-21,23 / 28,5,-3,2
Canaccord_166,CRWD,Q2 2022,31-Aug-21,51 / 70,-3,-4,-7
Canaccord_166,SWIR,Q2 2021,12-Aug-21,7/8,-4,-4,-8
Canaccord_166,SAIL,Q2 2021,9-Aug-21,5/10,7,-1,6
Canaccord_166,EVBG,Q2 2021,9-Aug-21,1/9,15,9,24
Canaccord_166,CEVA,Q2 2021,9-Aug-21,4/7,15,-4,11
Canaccord_166,BAND,Q2 2021,5-Aug-21,6/10,8,17,25
Canaccord_166,QRVO,Q1 2022,4-Aug-21,19 / 19,-25,-25,-50
Canaccord_166,DGII,Q3 2021,4-Aug-21,5/5,-5,4,-1
Canaccord_166,ORBC,Q2 2021,3-Aug-21,3/3,,-2,-2
Canaccord_166,TWLO,Q2 2021,29-Jul-21,39 / 49,-1,-3,-4
Canaccord_166,SWKS,Q3 2021,29-Jul-21,34 / 34,-25,-25,-50
Canaccord_166,NOK,Q2 2021,29-Jul-21,18 / 20,8,-18,-10
Canaccord_166,MIXT,Q1 2022,29-Jul-21,4/6,14,-4,10
Canaccord_166,QCOM,Q3 2021,28-Jul-21,41 / 73,8,12,20
Canaccord_166,AAPL,Q3 2021,27-Jul-21,191 / 348,8,10,18
Canaccord_166,ERIC,Q2 2021,16-Jul-21,6/16,22,-25,-3
Canaccord_166,CAMP,Q1 2022,24-Jun-21,2/4,-12,25,13
Canaccord_166,BB,Q1 2022,24-Jun-21,18 / 39,-3,16,13
Canaccord_166,CRWD,Q1 2022,3-Jun-21,67 / 78,-7,-4,-11
Canaccord_166,MIXT,Q4 2021,27-May-21,1/5,22,9,31
Canaccord_166,OKTA,Q1 2022,26-May-21,33 / 32,-11,-6,-17
Canaccord_166,ZS,Q3 2021,25-May-21,40 / 43,-6,-5,-11
Canaccord_166,SWIR,Q1 2021,13-May-21,1/8,-2,-1,-3
Canaccord_166,SAIL,Q1 2021,10-May-21,3/13,-1,-1,-2
Canaccord_166,EVBG,Q1 2021,10-May-21,8/11,0,7,7
Canaccord_166,CEVA,Q1 2021,10-May-21,9/9,-8,-5,-13
Canaccord_166,BAND,Q1 2021,5-May-21,8/10,9,-3,6
Canaccord_166,DGII,Q2 2021,5-May-21,1/6,16,10,26
Canaccord_166,SMAR,Q3 2022,2-Dec-21,20 / 21,-5,-5,-10
Canaccord_166,DOCU,Q3 2022,2-Dec-21,40 / 48,-5,-3,-8
Canaccord_166,VEEV,Q3 2022,1-Dec-21,24 / 24,-23,-25,-48
Canaccord_166,ZUO,Q3 2022,1-Dec-21,15 / 20,0,6,6
Canaccord_166,CRM,Q3 2022,30-Nov-21,69 / 80,-6,-4,-10
Canaccord_166,PLAN,Q3 2022,23-Nov-21,11/13,-7,-4,-11
Canaccord_166,WDAY,Q3 2022,18-Nov-21,28 / 33,-5,-6,-11
Needham_26,AXON,Q3 2021,15-Nov-21,14 / 15,8,-8,0
Needham_26,EVBG,Q3 2021,9-Nov-21,5/8,7,13,20
Needham_26,ONTF,Q3 2021,9-Nov-21,6/8,4,8,12
Needham_26,GLBE,Q3 2021,9-Nov-21,4/5,-15,-3,-18
Needham_26,FIVN,Q3 2021,8-Nov-21,13 / 15,-7,-16,-23
Needham_26,PCTY,Q1 2022,4-Nov-21,3/5,9,8,17
Needham_26,AVLR,Q3 2021,4-Nov-21,6/7,-5,-5,-10
Needham_26,BILL,Q1 2022,4-Nov-21,5/10,12,-2,10
Needham_26,CDAY,Q3 2021,3-Nov-21,2/6,-2,20,18
Needham_26,UPLD,Q3 2021,3-Nov-21,2/6,-3,11,8
Needham_26,PRO,Q3 2021,2-Nov-21,4/5,7,-4,3
Needham_26,SPT,Q3 2021,2-Nov-21,6/6,-5,-4,-9
Needham_26,SPSC,Q3 2021,28-Oct-21,8/10,-10,-1,-11
Needham_26,TYL,Q3 2021,27-Oct-21,3/6,13,9,22
Needham_26,SMAR,Q2 2022,7-Sep-21,15 / 18,-7,8,1
Needham_26,DOCU,Q2 2022,2-Sep-21,51 / 56,-7,-8,-15
Needham_26,MDLA,Q2 2022,2-Sep-21,2/4,10,9,19
Needham_26,VEEV,Q2 2022,1-Sep-21,19 / 19,-25,-22,-47
Needham_26,PLAN,Q2 2022,31-Aug-21,10/13,-7,8,1
Needham_26,WDAY,Q2 2022,26-Aug-21,27 / 32,8,-8,0
Needham_26,BILL,Q4 2021,26-Aug-21,1/8,16,-4,12
Needham_26,CRM,Q2 2022,25-Aug-21,78 / 86,-5,-5,-10
Needham_26,ZUO,Q2 2022,25-Aug-21,7/13,-1,7,6
Needham_26,ONTF,Q2 2021,10-Aug-21,8/8,-5,-9,-14
Needham_26,EVBG,Q2 2021,9-Aug-21,6/9,15,-4,11
Needham_26,CSOD,Q2 2021,5-Aug-21,4/4,-5,-5,-10
Needham_26,PCTY,Q4 2021,5-Aug-21,9/11,6,-3,3
Needham_26,AXON,Q2 2021,5-Aug-21,10/10,-9,-6,-15
Needham_26,AVLR,Q2 2021,5-Aug-21,6/7,6,-4,2
Needham_26,CDAY,Q2 2021,4-Aug-21,4/6,-6,-2,-8
Needham_26,UPLD,Q2 2021,4-Aug-21,5/7,-2,-4,-6
Needham_26,PRO,Q2 2021,3-Aug-21,4/5,8,16,24
Needham_26,SPT,Q2 2021,3-Aug-21,5/5,-4,7,3
Needham_26,SPSC,Q2 2021,29-Jul-21,5/7,0,-4,-4
Needham_26,TYL,Q2 2021,28-Jul-21,5/5,-4,-4,-8
Needham_26,FIVN,Q2 2021,27-Jul-21,6/8,6,-3,3
Needham_26,DOCU,Q1 2022,3-Jun-21,44 / 50,-6,-5,-11
Needham_26,SMAR,Q1 2022,2-Jun-21,24 / 27,-7,4,-3
Needham_26,VEEV,Q1 2022,27-May-21,22 / 22,-9,-7,-16
Needham_26,CRM,Q1 2022,27-May-21,75 / 88,-5,-3,-8
Needham_26,PLAN,Q1 2022,27-May-21,1/13,25,8,33
Needham_26,ZUO,Q1 2022,26-May-21,9/22,0,12,12
Needham_26,WDAY,Q1 2022,26-May-21,35 / 40,-5,-9,-14
Needham_26,COUP,Q3 2022,6-Dec-21,23 / 30,,-5,-5
Needham_26,SMAR,Q3 2022,2-Dec-21,16 / 21,7,-5,2
Needham_26,CRM,Q3 2022,30-Nov-21,65 / 80,,-4,-4
Needham_26,PLAN,Q3 2022,23-Nov-21,12/13,-7,-4,-11
Needham_26,RNG,Q3 2021,9-Nov-21,13 / 17,-5,-4,-9
Needham_26,MODN,Q4 2021,9-Nov-21,2/7,9,-1,8
Needham_26,EVBG,Q3 2021,9-Nov-21,4/8,7,14,21
Needham_26,FIVN,Q3 2021,8-Nov-21,14 / 15,-10,-14,-24
Suntrust_93,PCTY,Q1 2022,4-Nov-21,4/5,,-5,-5
Suntrust_93,BL,Q3 2021,4-Nov-21,6/8,9,-3,6
Suntrust_93,APPN,Q3 2021,4-Nov-21,8/8,,-6,-6
Suntrust_93,HUBS,Q3 2021,3-Nov-21,14 / 19,9,-2,7
Suntrust_93,WK,Q3 2021,3-Nov-21,4/5,9,6,15
Suntrust_93,QTWO,Q3 2021,3-Nov-21,2/7,,8,8
Suntrust_93,UPLD,Q3 2021,3-Nov-21,6/6,,-5,-5
Suntrust_93,MIME,Q2 2022,2-Nov-21,8/10,-4,-4,-8
Suntrust_93,SHOP,Q3 2021,28-Oct-21,2/1,20,25,45
Suntrust_93,SWI,Q3 2021,28-Oct-21,6/6,14,-25,-11
Suntrust_93,MANH,Q3 2021,26-Oct-21,4/4,,-6,-6
Suntrust_93,XM,Q3 2021,20-Oct-21,9/10,,-4,-4
Suntrust_93,COUP,Q2 2022,7-Sep-21,22 / 26,,-5,-5
Suntrust_93,MDLA,Q2 2022,2-Sep-21,4/4,,-4,-4
Suntrust_93,PLAN,Q2 2022,31-Aug-21,12/13,-7,8,1
Suntrust_93,CRM,Q2 2022,25-Aug-21,73 / 86,,-5,-5
Suntrust_93,MODN,Q3 2021,9-Aug-21,4/7,8,-2,6
Suntrust_93,EVBG,Q2 2021,9-Aug-21,5/9,15,-4,11
Suntrust_93,PCTY,Q4 2021,5-Aug-21,5/11,,13,13
Suntrust_93,BL,Q2 2021,5-Aug-21,7/8,0,-3,-3
Suntrust_93,APPN,Q2 2021,5-Aug-21,8/8,,-5,-5
Suntrust_93,HUBS,Q2 2021,4-Aug-21,11/17,6,11,17
Suntrust_93,QTWO,Q2 2021,4-Aug-21,3/6,,9,9
Suntrust_93,UPLD,Q2 2021,4-Aug-21,2/7,,10,10
Suntrust_93,RNG,Q2 2021,3-Aug-21,12/16,6,8,14
Suntrust_93,WK,Q2 2021,3-Aug-21,5/5,4,4,8
Suntrust_93,MIME,Q1 2022,3-Aug-21,7/8,-5,-5,-10
Suntrust_93,SWI,Q2 2021,3-Aug-21,3/5,17,-12,5
Suntrust_93,SHOP,Q2 2021,28-Jul-21,29 / 67,6,14,20
Suntrust_93,FIVN,Q2 2021,27-Jul-21,5/8,6,-3,3
Suntrust_93,MANH,Q2 2021,27-Jul-21,5/5,,5,5
Suntrust_93,CRM,Q1 2022,27-May-21,73 / 88,,-3,-3
Suntrust_93,MIME,Q4 2021,11-May-21,9/12,-5,-6,-11
Suntrust_93,MODN,Q2 2021,10-May-21,6/8,-8,-2,-10
Suntrust_93,EVBG,Q1 2021,10-May-21,7/11,0,8,8
Suntrust_93,PCTY,Q3 2021,6-May-21,8/10,,-1,-1
Suntrust_93,BL,Q1 2021,6-May-21,10/10,-9,-5,-14
Suntrust_93,APPN,Q1 2021,6-May-21,8/9,,-4,-4
Suntrust_93,HUBS,Q1 2021,5-May-21,15 / 24,-1,8,7
Suntrust_93,QTWO,Q1 2021,5-May-21,5/7,,-6,-6
Suntrust_93,UPLD,Q1 2021,5-May-21,7/8,,-4,-4
Suntrust_93,WK,Q1 2021,4-May-21,4/5,12,-4,8
Suntrust_93,EVBG,Q3 2021,9-Nov-21,8/8,-25,-9,-34
Suntrust_93,CEVA,Q3 2021,9-Nov-21,5/7,-6,,-6
Suntrust_93,ZNGA,Q3 2021,8-Nov-21,32 / 34,-7,,-7
Suntrust_93,AAPL,Q4 2021,28-Oct-21,319 / 324,-6,-25,-31
Suntrust_93,TYL,Q3 2021,27-Oct-21,6/6,-10,,-10
Suntrust_93,XONE,Q2 2021,11-Aug-21,5/8,,-3,-3
Suntrust_93,EVBG,Q2 2021,9-Aug-21,8/9,-8,-7,-15
Suntrust_93,CEVA,Q2 2021,9-Aug-21,6/7,7,,7
Suntrust_93,ZNGA,Q2 2021,5-Aug-21,24 / 26,-8,,-8
Oppenheimer_17,TYL,Q2 2021,28-Jul-21,4/5,-7,,-7
Oppenheimer_17,AAPL,Q3 2021,27-Jul-21,347 / 348,-10,-25,-35
Oppenheimer_17,TTWO,Q4 2021,18-May-21,28 / 34,-5,,-5
Oppenheimer_17,XONE,Q1 2021,17-May-21,3/9,,-3,-3
Oppenheimer_17,EA,Q4 2021,11-May-21,43 / 47,-11,-5,-16
Oppenheimer_17,EVBG,Q1 2021,10-May-21,11/11,-25,8,-17
Oppenheimer_17,CEVA,Q1 2021,10-May-21,7/9,-5,,-5
Oppenheimer_17,ZNGA,Q1 2021,5-May-21,36 / 35,-25,,-25
Oppenheimer_17,TYL,Q1 2021,28-Apr-21,2/6,20,,20
Oppenheimer_17,AAPL,Q2 2021,28-Apr-21,454 / 461,-4,-25,-29
Oppenheimer_17,SONY,Q4 2020,28-Apr-21,9/9,-25,,-25
Oppenheimer_17,XONE,Q4 2020,11-Mar-21,2/10,,19,19
Oppenheimer_17,AMBA,Q4 2021,2-Mar-21,25 / 26,-8,-5,-13
Oppenheimer_17,AXON,Q4 2020,25-Feb-21,15 / 15,-4,,-4
Oppenheimer_17,EVBG,Q4 2020,18-Feb-21,13 / 13,-25,-5,-30
Oppenheimer_17,CEVA,Q4 2020,16-Feb-21,5/6,8,,8
Oppenheimer_17,ZNGA,Q4 2020,10-Feb-21,39 / 38,-25,,-25
Oppenheimer_17,TYL,Q4 2020,10-Feb-21,2/6,-2,,-2
Oppenheimer_17,TTWO,Q3 2021,8-Feb-21,47 / 53,-9,,-9
Oppenheimer_17,GPRO,Q4 2020,4-Feb-21,4/1,-2,18,16
Oppenheimer_17,ATVI,Q4 2020,4-Feb-21,47 / 58,-5,,-5
Oppenheimer_17,SONY,Q3 2020,3-Feb-21,9/9,-25,,-25
Oppenheimer_17,EA,Q3 2021,2-Feb-21,40 / 50,-5,-2,-7
Oppenheimer_17,AAPL,Q1 2021,27-Jan-21,500 / 502,-4,-25,-29
Oppenheimer_17,AMBA,Q3 2021,23-Nov-20,23 / 31,7,7,14
Oppenheimer_17,EA,Q2 2021,5-Nov-20,10/1,-8,20,12
Oppenheimer_17,GPRO,Q3 2020,5-Nov-20,2/1,14,12,26
Oppenheimer_17,TTWO,Q2 2021,5-Nov-20,37 / 41,-8,,-8
Oppenheimer_17,AXON,Q3 2020,5-Nov-20,14 / 14,-5,,-5
Oppenheimer_17,EVBG,Q3 2020,5-Nov-20,16 / 16,-25,-4,-29
Oppenheimer_17,CEVA,Q3 2020,5-Nov-20,6/6,-11,,-11
Oppenheimer_17,TYL,Q3 2020,4-Nov-20,8/10,-4,,-4
Oppenheimer_17,ZNGA,Q3 2020,4-Nov-20,36 / 35,-25,,-25
Oppenheimer_17,AAPL,Q4 2020,29-Oct-20,372 / 387,-5,-25,-30
Oppenheimer_17,ATVI,Q3 2020,29-Oct-20,46 / 61,-4,,-4
Oppenheimer_17,SONY,Q2 2020,28-Oct-20,8/8,-25,,-25
Oppenheimer_17,CEVA,Q2 2020,10-Aug-20,8/9,-5,,-5
Oppenheimer_17,GPRO,Q2 2020,6-Aug-20,4/1,-1,24,23
Oppenheimer_17,AXON,Q2 2020,6-Aug-20,6/17,13,,13
Oppenheimer_17,EVBG,Q2 2020,6-Aug-20,15 / 15,-23,-5,-28
Oppenheimer_17,ZNGA,Q2 2020,5-Aug-20,38 / 37,-25,,-25
Oppenheimer_17,EVBG,Q4 2020,18-Feb-21,4/13,-7,19,12
Oppenheimer_17,NFLX,Q4 2020,19-Jan-21,17 / 190,24,-2,22
Oppenheimer_17,EVBG,Q3 2020,5-Nov-20,15 / 16,-8,-6,-14
Oppenheimer_17,NFLX,Q3 2020,20-Oct-20,56 / 221,-4,21,17
Oppenheimer_17,FTCH,Q2 2020,13-Aug-20,10/18,13,-6,7
Oppenheimer_17,EVBG,Q2 2020,6-Aug-20,7/15,-4,20,16
Oppenheimer_17,NFLX,Q2 2020,16-Jul-20,37 / 254,-4,24,20
Oppenheimer_17,EVBG,Q1 2020,5-May-20,1/14,16,23,39
Oppenheimer_17,NFLX,Q2 2019,17-Jul-19,64 / 338,25,-4,21
Oppenheimer_17,MODN,Q4 2021,9-Nov-21,6/7,,-11,-11
Analyst_8459950,MODN,Q3 2021,9-Aug-21,6/7,,-10,-10
Analyst_8459950,PCTY,Q4 2021,5-Aug-21,10/11,,-5,-5
Analyst_8459950,MIME,Q4 2021,11-May-21,11/12,-13,-18,-31
Analyst_8459950,MODN,Q2 2021,10-May-21,7/8,,-13,-13
Analyst_8459950,PCTY,Q3 2021,6-May-21,7/10,,-1,-1
Analyst_8459950,COUP,Q4 2021,16-Mar-21,23 / 29,13,-8,5
Analyst_8459950,SMAR,Q4 2021,16-Mar-21,22 / 27,16,-6,10
Analyst_8459950,CRM,Q4 2021,25-Feb-21,112 / 113,,-25,-25
Analyst_8459950,PLAN,Q4 2021,25-Feb-21,2/11,16,21,37
Analyst_8459950,SWI,Q4 2020,25-Feb-21,9/9,-9,-10,-19
Suntrust_60,FIVN,Q4 2020,22-Feb-21,13 / 16,8,-9,-1
Suntrust_60,EVBG,Q4 2020,18-Feb-21,12/13,-25,8,-17
Suntrust_60,QTWO,Q4 2020,17-Feb-21,4/8,,11,11
Suntrust_60,WK,Q4 2020,17-Feb-21,6/7,-13,-8,-21
Suntrust_60,SHOP,Q4 2020,17-Feb-21,89 / 93,-21,-25,-46
Suntrust_60,RNG,Q4 2020,16-Feb-21,15 / 21,14,-8,6
Suntrust_60,HUBS,Q4 2020,11-Feb-21,18 / 18,-5,-17,-22
Suntrust_60,BL,Q4 2020,11-Feb-21,6/9,21,-11,10
Suntrust_60,PS,Q4 2020,10-Feb-21,5/6,-7,-6,-13
Suntrust_60,MODN,Q1 2021,9-Feb-21,7/8,,-10,-10
Suntrust_60,PCTY,Q2 2021,4-Feb-21,6/14,,16,16
Suntrust_60,MIME,Q3 2021,3-Feb-21,13 / 13,-9,-17,-26
Suntrust_60,MANH,Q4 2020,2-Feb-21,7/7,,-6,-6
Suntrust_60,COUP,Q3 2021,7-Dec-20,25 / 29,5,-7,-2
Suntrust_60,SMAR,Q3 2021,7-Dec-20,25 / 29,12,-10,2
Suntrust_60,CRM,Q3 2021,1-Dec-20,97 / 102,,-19,-19
Suntrust_60,PLAN,Q3 2021,24-Nov-20,13 / 17,-9,9,0
Suntrust_60,MODN,Q4 2020,10-Nov-20,7/8,-10,-20,-30
Suntrust_60,RNG,Q3 2020,9-Nov-20,21 / 23,-4,-6,-10
Suntrust_60,PCTY,Q1 2021,5-Nov-20,12/13,,-3,-3
Suntrust_60,HUBS,Q3 2020,5-Nov-20,24 / 25,-6,-6,-12
Suntrust_60,PS,Q3 2020,5-Nov-20,10/12,-7,6,-1
Suntrust_60,EVBG,Q3 2020,5-Nov-20,13 / 16,13,-5,8
Suntrust_60,WK,Q3 2020,4-Nov-20,10/10,-6,-7,-13
Suntrust_60,QTWO,Q3 2020,4-Nov-20,7/8,,-8,-8
Suntrust_60,MIME,Q2 2021,2-Nov-20,9/9,-5,-25,-30
Suntrust_60,FIVN,Q3 2020,29-Oct-20,13 / 14,-5,-6,-11
Suntrust_60,BL,Q3 2020,29-Oct-20,9/10,12,-7,5
Suntrust_60,SHOP,Q3 2020,29-Oct-20,65 / 77,-5,-7,-12
